slug,name,oneLiner,description,category,logoUrl,websiteUrl,docsUrl,pricingUrl,apiType,authMethod,hasFreeTier,sdkLanguages,hasWebhooks,aiCapabilities,aiDifficulty,starterPrompt,mcpReady,isFeatured,alternativeTo,integrations
lusha,Lusha,Real-time B2B contact and company intelligence API.,"Lusha provides a RESTful API that delivers verified contact details and company firmographics. It is highly effective for enriching lead lists and providing AI agents with direct dials and personal emails for decision-makers. The Lusha API is built for speed and high-intent prospecting, ensuring that sales teams have the most accurate data at their fingertips.",Prospecting,/logos/lusha.svg,https://www.lusha.com,https://www.lusha.com/api-documentation/,https://www.lusha.com/pricing,"[""REST""]","[""API Key""]",true,[],false,"[""Direct Dial Enrichment"", ""Firmographic Data Retrieval"", ""Real-time Prospecting""]",Beginner-Friendly,"Claude, enrich this list of LinkedIn URLs with Lusha to find their direct phone numbers.",false,false,"[""Apollo.io"", ""ZoomInfo"", ""Kaspr""]",
exa-ai,Exa.ai,AI-native search engine for finding anything on the web.,"Exa (formerly Metaphor) is a search engine built from the ground up for LLMs. Its API allows AI agents to search the web using natural language and receive high-quality, structured results. Exa is exceptionally good at finding niche companies, blog posts, and research papers that traditional search engines miss. Its official MCP server makes it a primary tool for AI-led market research and prospecting.",Prospecting,/logos/exa.svg,https://exa.ai,https://docs.exa.ai,https://exa.ai/pricing,"[""REST""]","[""API Key""]",,,,,,,,,,[]
tavily,Tavily AI,Search engine optimized for AI agents and RAG applications.,"Tavily is a search engine designed specifically for AI agents to conduct real-time research with high accuracy. Its API provides clean, filtered results that are perfect for LLM context windows. With its official MCP server, AI assistants can seamlessly search the web and extract content from pages, making it an essential tool for automated market analysis and lead enrichment.",Prospecting,/logos/tavily.svg,https://tavily.com,https://docs.tavily.com,https://tavily.com/pricing,"[""REST""]","[""API Key""]",,,,,,,,,,[]
perplexity,Perplexity AI,AI-powered research engine with a robust search and agent API.,"Perplexity provides an API that allows developers to integrate its powerful research and search capabilities into their own products. It offers the 'Sonar' models for real-time web search and an 'Agent API' for building advanced AI researchers. For AI-native operators, Perplexity's API is a primary choice for giving agents grounded, up-to-date information from across the web.",Prospecting,/logos/perplexity.svg,https://www.perplexity.ai,https://docs.perplexity.ai,https://www.perplexity.ai/hub/api,"[""REST""]","[""API Key""]",false,"[""Python"", ""Node.js""]",false,"[""Grounded Web Research"", ""Real-time Search API"", ""Agentic Responses""]",Beginner-Friendly,"Claude, use the Perplexity API to research the current competitive landscape for 'AI Video Prospecting'.",false,true,"[""OpenAI"", ""Tavily"", ""Exa.ai""]",
phantombuster,PhantomBuster,Automate lead generation and data extraction across any web platform.,"PhantomBuster's REST API allows developers to programmatically trigger 'Phantoms' (automated scripts) for scraping LinkedIn, Twitter, Google Maps, and more. It features 'Buster' functions for solving captchas and saving results. AI agents can use the API to launch specific automation workflows, fetch results, and manage leads in organizational storage without manual intervention.",Prospecting,/logos/phantombuster.svg,https://phantombuster.com,https://hub.phantombuster.com/reference,https://phantombuster.com/pricing,"[""REST""]","[""API Key""]",false,"[""Node.js""]",true,"[""Launch Automated Phantoms"", ""Solve Captchas for Agents"", ""Fetch Scraped Lead Data""]",Technical,"Claude, launch the 'LinkedIn Profile Scraper' Phantom in PhantomBuster using this list of profile URLs.",false,false,"[""Apify"", ""Outscraper"", ""Bright Data""]",
a-leads,A-Leads,Up-to-date B2B lead generation with a developer-first API.,"A-Leads is a momentum leader in lead generation, providing a documented REST API for developers to programmatically find and export high-quality B2B contact data. It focuses on performance and accuracy for modern sales teams.",Prospecting,/logos/a-leads.svg,https://a-leads.co,https://docs.a-leads.co/reference,https://a-leads.co/pricing,"[""REST""]","[""API Key""]",true,[],false,"[""Lead Discovery"", ""Contact Export"", ""Data Enrichment""]",Beginner-Friendly,"Claude, use A-Leads to find 50 CEOs of SaaS startups in New York.",false,false,"[""Apollo.io"", ""Hunter.io""]",
adapt,Adapt,Lead intelligence platform with a massive B2B contact database and API.,"Adapt provides a robust API for lead intelligence, offering access to over 250 million contacts. It allows teams to identify growing companies through key hires and expansion signals, making it ideal for building data-driven prospecting workflows.",Prospecting,/logos/adapt.svg,https://adapt.io,https://www.adapt.io/platform/api,https://www.adapt.io/pricing,"[""REST""]","[""API Key""]",false,[],true,"[""Identify Growing Companies"", ""Contact Enrichment"", ""Pipeline Filling""]",Technical,"Claude, search Adapt for companies that have recently hired a new VP of Sales.",false,false,"[""ZoomInfo"", ""Lusha""]",
find-me-sales,Find Me Sales,Lead generation and outreach with built-in AI summaries and webhook support.,"Find Me Sales is a lead generation platform that provides precision-targeted contact data. It features AI-powered summaries and provides webhooks and Zapier integrations to push lead data directly into your existing sales stack, making it easy to automate the top of your funnel.",Prospecting,/logos/find-me-sales.svg,https://findmesales.com,https://findmesales.com/docs,https://findmesales.com/pricing,"[""REST""]","[""API Key""]",true,[],true,"[""Lead Precision Matching"", ""AI Prospect Summaries"", ""Webhook Data Pushing""]",Beginner-Friendly,"Claude, find 50 leads in the logistics industry using Find Me Sales and push them to my CRM via webhook.",false,false,"[""Apollo.io"", ""Hunter.io""]",
snov-io,Snov.io,"Email finder, verifier, and cold outreach automation platform.","Snov.io provides a robust REST API for finding and verifying email addresses, managing prospect lists, and automating cold outreach. It is a favorite for sales teams looking to build scalable, automated top-of-funnel workflows with high deliverability.",Prospecting,/logos/snov-io.svg,https://snov.io,https://snov.io/api,https://snov.io/pricing,"[""REST""]","[""API Key"", ""Bearer Token""]",true,[],true,"[""Email Discovery"", ""Lead Verification"", ""Outreach Automation""]",Beginner-Friendly,"Claude, find the verified email for the CTO of Acme Corp using Snov.io.",false,false,"[""Hunter.io"", ""Anymail Finder"", ""Skrapp.io""]",
mattermark,Mattermark,Data-driven company insights and lead intelligence platform.,"Mattermark offers both REST and GraphQL APIs to access detailed data on millions of companies and investors. It allows developers to build custom scoring models, enrich CRM data, and identify high-growth prospects programmatically.",Prospecting,/logos/mattermark.svg,https://mattermark.com,https://mattermark.com/api/,https://mattermark.com/pricing,"[""REST"", ""GraphQL""]","[""API Key""]",false,[],false,"[""Company Growth Tracking"", ""CRM Enrichment"", ""Custom Lead Scoring""]",Technical,"Claude, use Mattermark to find companies in the AI space that have raised a Series A in the last 6 months.",false,false,"[""Crunchbase"", ""Clearbit"", ""ZoomInfo""]",
kuration,Kuration,Enriched prospect databases and data-as-a-service.,"Kuration provides enriched prospect databases sourced from events, directories, and public records. It offers an API for developers to programmatically access its curated data, making it easier to build high-intent lead lists for specific niche industries.",Prospecting,/logos/kuration.svg,https://kuration.io,https://kuration.io,https://kuration.io,"[""REST""]","[""API Key""]",false,[],false,"[""Niche Lead Sourcing"", ""Data Enrichment"", ""Custom Prospect Databases""]",Beginner-Friendly,"Claude, fetch 100 leads from the latest tech event using the Kuration API.",false,false,"[""Apollo.io"", ""Lusha""]",
instantly,Instantly.ai,Cold email infrastructure and outreach automation at scale.,"Instantly.ai provides a REST API for managing cold email campaigns, warming up inboxes, and tracking deliverability metrics programmatically. Developers can create and schedule multi-step email sequences, manage unlimited sending accounts, and pull analytics on open rates, replies, and bounces. It is built for agencies and sales teams that need to scale outbound email without sacrificing deliverability.",Email Outreach,/logos/instantly.svg,https://instantly.ai,https://developer.instantly.ai,https://instantly.ai/pricing,"[""REST""]","[""API Key""]",false,[],true,"[""Automate Cold Email"", ""Inbox Warmup"", ""Campaign Analytics""]",Beginner-Friendly,"Claude, create a new cold email campaign in Instantly for the lead list I just generated.",false,false,"[""Lemlist"", ""Smartlead"", ""Woodpecker""]",
resend,Resend,Modern email API built for developers.,"Resend is a developer-first email API that makes sending transactional and marketing emails simple and reliable. The REST API supports sending emails with React components as templates, domain verification, audience management, and detailed delivery analytics. With SDKs for Python, Node.js, Go, and Ruby, Resend is ideal for SaaS teams that want to own their email infrastructure with minimal setup.",Email Outreach,/logos/resend.svg,https://resend.com,https://resend.com/docs,https://resend.com/pricing,"[""REST""]","[""API Key""]",,,,,,,,,,"{
        platform: ""MCP"",
        url: ""https://github.com/resend/mcp-server"",
        label: ""Official MCP Server"",
        mcpConfig: '{\n  ""mcpServers"": {\n    ""resend"": {\n      ""command"": ""npx"",\n      ""args"": [""-y"", ""@resend/mcp-server"""
loops,Loops,Email platform for modern SaaS companies.,"Loops provides a REST API for sending transactional emails, managing contacts, and triggering event-based email campaigns. It is designed specifically for SaaS companies that need to combine marketing loops, onboarding sequences, and product emails in one platform. The API is clean and well-documented, making it easy to integrate lifecycle email into your application.",Email Outreach,/logos/loops.svg,https://loops.so,https://loops.so/docs/api,https://loops.so/pricing,"[""REST""]","[""API Key""]",true,"[""Node.js""]",true,"[""SaaS Lifecycle Email"", ""Trigger Events"", ""Contact Management""]",Beginner-Friendly,"Claude, trigger the 'Post-Purchase' event in Loops for customer 'akhil@example.com'.",false,false,"[""Customer.io"", ""Mailchimp"", ""Resend""]",
lemlist,lemlist,Sales engagement platform with advanced personalization and outreach APIs.,"lemlist offers a developer API designed for automating multichannel outreach, building custom workflows, and enriching databases. It features 'lemlist AI' which helps with lead segmentation and personalized content generation. The API allows you to manage campaigns, trigger actions based on prospect behavior, and sync data seamlessly with your CRM, making it a powerful tool for AI-driven sales teams.",Email Outreach,/logos/lemlist.svg,https://www.lemlist.com,https://developer.lemlist.com,https://www.lemlist.com/pricing,"[""REST""]","[""API Key""]",false,[],true,"[""Personalized Multichannel Outreach"", ""Lead Segmentation"", ""Campaign Automation""]",Beginner-Friendly,"Claude, create a new lemlist campaign and add these 50 leads with personalized icebreakers.",false,false,"[""Instantly.ai"", ""Salesloft"", ""Outreach""]",
smartlead,Smartlead.ai,Scale your outbound with AI-powered cold email automation.,"Smartlead provides a powerful REST API for automating cold email campaigns, managing master inboxes, and tracking lead statistics. It features 'Smart Prospect' for lead search and 'Smart Delivery' for deliverability optimization. The API allows AI agents to push leads to campaigns, manage sequences, and respond to replies directly from a centralized master inbox.",Email Outreach,/logos/smartlead.svg,https://www.smartlead.ai,https://api.smartlead.ai/reference,https://www.smartlead.ai/pricing,"[""REST""]","[""API Key""]",false,[],true,"[""Automated Lead Pushing"", ""Master Inbox Management"", ""Campaign Sequence Control""]",Beginner-Friendly,"Claude, push these 100 leads to the 'Product Launch' campaign in Smartlead and set their category to 'Interested'.",false,true,"[""Instantly.ai"", ""Lemlist"", ""Outreach""]",
attio,Attio,"Next-generation CRM with a powerful, flexible API.","Attio is a modern CRM that exposes a comprehensive REST API for managing contacts, companies, deals, and custom objects. The API supports complex filtering, real-time webhooks, and full CRUD on all data models. Attio also offers an official MCP server, making it one of the first CRMs to support the Model Context Protocol for AI-powered integrations.",CRM,/logos/attio.svg,https://attio.com,https://developers.attio.com,https://attio.com/pricing,"[""REST""]","[""OAuth2"", ""Bearer Token""]",,,,,,,,,,"{
        platform: ""MCP"",
        url: ""https://github.com/attio/mcp-server"",
        label: ""Official MCP Server"",
        mcpConfig: '{\n  ""mcpServers"": {\n    ""attio"": {\n      ""command"": ""npx"",\n      ""args"": [""-y"", ""@attio/mcp-server"""
twenty,Twenty,Open-source CRM with REST and GraphQL APIs.,"Twenty is an open-source CRM that offers both REST and GraphQL APIs for full control over your customer data. Self-host it or use the cloud version to manage contacts, companies, opportunities, and custom objects. The GraphQL API provides flexible querying, while the REST API covers standard CRUD operations. As an open-source project, Twenty gives teams complete transparency and the ability to extend the platform.",CRM,/logos/twenty.svg,https://twenty.com,https://twenty.com/developers,https://twenty.com/pricing,"[""REST"", ""GraphQL""]","[""API Key"", ""Bearer Token""]",true,[],true,"[""Open-source CRM"", ""GraphQL & REST"", ""Self-hosting""]",Technical,"Claude, write a GraphQL query for Twenty to fetch all opportunities closing this month.",false,false,"[""Salesforce"", ""HubSpot"", ""Attio""]",
hubspot,HubSpot,All-in-one CRM platform with an extensive API ecosystem.,"HubSpot offers one of the most comprehensive CRM APIs in the market, covering contacts, companies, deals, tickets, marketing, and custom objects. The REST API supports batch operations, advanced filtering with CRM search, and real-time webhooks. With official SDKs in Python, Node.js, Ruby, and PHP, plus an MCP server for AI integrations, HubSpot is the industry standard for CRM automation and is trusted by over 200,000 businesses worldwide.",CRM,/logos/hubspot.svg,https://www.hubspot.com,https://developers.hubspot.com,https://www.hubspot.com/pricing,"[""REST""]","[""OAuth2"", ""Bearer Token"", ""API Key""]",,,,,,,,,,"{
        platform: ""MCP"",
        url: ""https://github.com/hubspot/hubspot-mcp"",
        label: ""Official MCP Server"",
        mcpConfig: '{\n  ""mcpServers"": {\n    ""hubspot"": {\n      ""command"": ""npx"",\n      ""args"": [""-y"", ""@hubspot/mcp-server"""
salesforce,Salesforce,The world's leading enterprise CRM with comprehensive API and AI tools.,"Salesforce provides a massive ecosystem of APIs (REST, SOAP, Bulk) for managing every aspect of the customer journey. It has recently introduced Salesforce Hosted MCP Servers, allowing teams to expose Salesforce data as tools for AI agents. With Einstein AI and Agentforce, Salesforce is pushing the boundaries of autonomous sales operations, making it a critical hub for AI-native enterprise workflows.",CRM,/logos/salesforce.svg,https://www.salesforce.com,https://developer.salesforce.com/docs,https://www.salesforce.com/pricing,"[""REST""]","[""OAuth2""]",,,,,,,,,,[]
zoho-crm,Zoho CRM,Flexible CRM for growing businesses with native AI and MCP support.,"Zoho CRM provides a powerful REST API and a specialized 'Zoho MCP' service that allows developers to create custom MCP servers for AI agents. This enables AI assistants to perform complex actions across the Zoho suite. With Zia (Zoho's AI assistant) providing sales predictions and anomaly detection, Zoho is a top choice for teams building automated, AI-augmented sales processes.",CRM,/logos/zoho.svg,https://www.zoho.com/crm,https://www.zoho.com/crm/developer/docs/api/v6/,https://www.zoho.com/crm/pricing.html,"[""REST""]","[""OAuth2""]",,,,,,,,,,[]
pipedrive,Pipedrive,Sales-focused CRM with a robust REST API for deal management.,"Pipedrive offers a developer-friendly REST API designed to help sales teams manage their pipelines programmatically. It features high performance and a clean data structure, making it ideal for AI agents to track deals, manage activities, and update contact information. Pipedrive also has an official MCP server, facilitating natural language interaction with CRM data.",CRM,/logos/pipedrive.svg,https://www.pipedrive.com,https://developers.pipedrive.com/docs/api/v1/,https://www.pipedrive.com/pricing,"[""REST""]","[""API Key"", ""OAuth2""]",,,,,,,,,,[]
folk,Folk,Lightweight CRM designed for relationship-driven teams.,"Folk is a collaborative CRM with a REST API that lets you manage contacts, companies, and pipelines programmatically. The API supports creating and updating records, managing custom fields, and syncing data from external sources. Folk is built for teams that prioritize relationships over rigid sales processes, making it popular with VCs, agencies, and partnership teams.",CRM,/logos/folk.svg,https://www.folk.app,https://developers.folk.app,https://www.folk.app/pricing,"[""REST""]","[""API Key""]",false,[],false,,,,,false,"[""Attio"", ""HubSpot"", ""Streak""]",
arpedio,ARPEDIO,Account-based selling platform for Salesforce.,"ARPEDIO is a Salesforce-native application that provides a suite of tools for account-based selling, including account planning, opportunity management, org charts, and relationship mapping. It helps sales teams to better understand their customers and to identify and close more deals.",CRM,/logos/arpedio.svg,http://www.arpedio.com,https://arpedio.com/arpedio-consulting/,https://arpedio.com/#bookdemo,"[""REST""]","[""OAuth2""]",false,"[""Apex""]",true,"[""Account Planning"", ""Opportunity Management"", ""Relationship Mapping"", ""Org Charts""]",Technical,"Claude, show me the org chart for the Acme Corporation account in ARPEDIO.",false,false,"[""Salesforce Maps"", ""Groove"", ""Lucidchart""]",
